environment,tol_0.001,tol_0.0001,tol_1e-05
1,0.25,0.25,0.25
2,0.25,0.25,0.25
3,0.0,0.0,0.0
4,0.75,0.75,0.75
5,1.0,1.0,1.0
6,0.0,0.0,0.0
7,0.25,0.25,0.25
8,0.25,0.25,0.25
9,0.0,0.0,0.0
10,0.25,0.25,0.25
11,0.25,0.25,0.25
12,0.0,0.0,0.0
13,0.25,0.25,0.25
14,0.25,0.25,0.25
15,0.0,0.0,0.0
16,0.25,0.25,0.25
17,0.75,0.75,0.75
18,0.0,0.0,0.0
19,0.25,0.25,0.25
20,0.25,0.25,0.25
21,0.0,0.0,0.0
22,0.25,0.25,0.25
23,0.25,0.25,0.25
24,0.0,0.0,0.0
25,0.25,0.25,0.25
26,0.25,0.25,0.25
27,0.0,0.0,0.0
28,0.75,0.75,0.75
29,1.0,1.0,1.0
30,0.0,0.0,0.0
31,1.0,1.0,1.0
32,0.75,0.75,0.75
33,0.0,0.0,0.0
34,0.75,0.75,0.75
35,0.75,0.75,0.75
36,0.0,0.0,0.0
37,0.25,0.25,0.25
38,0.75,0.75,0.75
39,0.0,0.0,0.0
40,0.25,0.25,0.25
41,0.75,0.75,0.75
42,0.0,0.0,0.0
43,0.25,0.25,0.25
44,1.0,1.0,1.0
45,0.0,0.0,0.0
46,0.75,0.75,0.75
47,0.75,0.75,0.75
48,0.0,0.0,0.0
49,0.75,0.75,0.75
50,0.75,0.75,0.75
51,0.0,0.0,0.0
52,0.75,0.75,0.75
53,0.75,0.75,0.75
54,0.0,0.0,0.0
55,1.0,1.0,1.0
56,0.25,0.25,0.25
57,0.0,0.0,0.0
58,0.75,0.75,0.75
59,0.75,0.75,0.75
60,0.0,0.0,0.0
